Period,Permit_Number,construction,Homes_Sold,Housing_Starts
1/1/2000,1727,353065,873,1636
1/2/2000,1692,351933,856,1737
1/3/2000,1651,353452,900,1604
1/4/2000,1597,356188,841,1626
1/5/2000,1543,349907,857,1575
1/6/2000,1572,348133,793,1559
1/7/2000,1542,337374,887,1463
1/8/2000,1552,337583,848,1541
1/9/2000,1570,339048,912,1507
1/10/2000,1577,344095,933,1549
1/11/2000,1614,347301,880,1551
1/12/2000,1543,344139,983,1532
1/1/2001,1699,348279,936,1600
1/2/2001,1656,353629,963,1625
1/3/2001,1659,350029,939,1590
1/4/2001,1666,361991,909,1649
1/5/2001,1665,360534,885,1605
1/6/2001,1626,365905,882,1636
1/7/2001,1598,366500,880,1670
1/8/2001,1615,369000,866,1567
1/9/2001,1565,368809,853,1562
1/10/2001,1566,370957,871,1540
1/11/2001,1651,375803,924,1602
1/12/2001,1680,376279,979,1568
1/1/2002,1665,377631,880,1698
1/2/2002,1787,385745,948,1829
1/3/2002,1691,385406,923,1642
1/4/2002,1669,398990,936,1592
1/5/2002,1716,394223,978,1764
1/6/2002,1758,401920,957,1717
1/7/2002,1738,404632,956,1655
1/8/2002,1695,398875,1014,1633
1/9/2002,1803,394820,1044,1804
1/10/2002,1799,397077,1006,1648
1/11/2002,1771,401424,1024,1753
1/12/2002,1896,411758,1048,1788
1/1/2003,1808,417788,999,1853
1/2/2003,1854,417500,936,1629
1/3/2003,1757,413303,999,1726
1/4/2003,1803,420510,1012,1643
1/5/2003,1835,421143,1078,1751
1/6/2003,1875,430929,1193,1867
1/7/2003,1885,448917,1168,1897
1/8/2003,1966,453031,1206,1833
1/9/2003,1961,458676,1131,1939
1/10/2003,2012,469855,1144,1967
1/11/2003,1918,485245,1093,2083
1/12/2003,1987,503356,1129,2057
1/1/2004,1952,498640,1165,1911
1/2/2004,1966,500439,1159,1846
1/3/2004,2066,506879,1276,1998
1/4/2004,2070,512400,1186,2003
1/5/2004,2150,522534,1241,1981
1/6/2004,2020,527794,1180,1828
1/7/2004,2112,543260,1088,2002
1/8/2004,2056,551447,1175,2024
1/9/2004,2041,546306,1214,1905
1/10/2004,2097,551137,1305,2072
1/11/2004,2079,550392,1179,1782
1/12/2004,2082,566284,1242,2042
1/1/2005,2139,575650,1203,2144
1/2/2005,2114,588435,1319,2207
1/3/2005,2062,591580,1328,1864
1/4/2005,2150,598335,1260,2061
1/5/2005,2085,603707,1286,2025
1/6/2005,2178,616958,1274,2068
1/7/2005,2203,628750,1389,2054
1/8/2005,2219,633710,1255,2095
1/9/2005,2263,647374,1244,2151
1/10/2005,2170,658590,1336,2065
1/11/2005,2218,665376,1214,2147
1/12/2005,2120,670522,1239,1994
1/1/2006,2212,675679,1174,2273
1/2/2006,2141,678562,1061,2119
1/3/2006,2118,668311,1116,1969
1/4/2006,1998,650388,1123,1821
1/5/2006,1905,633815,1086,1942
1/6/2006,1867,615053,1074,1802
1/7/2006,1763,598487,965,1737
1/8/2006,1722,584460,1035,1650
1/9/2006,1655,573878,1016,1720
1/10/2006,1570,561444,941,1491
1/11/2006,1535,548971,1003,1570
1/12/2006,1638,545011,998,1649
1/1/2007,1626,537571,891,1409
1/2/2007,1598,531641,828,1480
1/3/2007,1596,527865,833,1495
1/4/2007,1470,523666,887,1490
1/5/2007,1493,514131,842,1415
1/6/2007,1407,505936,793,1448
1/7/2007,1361,495976,778,1354
1/8/2007,1321,480974,699,1330
1/9/2007,1261,465709,686,1183
1/10/2007,1192,447819,727,1264
1/11/2007,1224,431878,641,1197
1/12/2007,1149,416486,619,1037
1/1/2008,1094,402138,627,1084
1/2/2008,1014,386197,593,1103
1/3/2008,967,390471,535,1005
1/4/2008,1008,385328,536,1013
1/5/2008,995,381911,504,973
1/6/2008,1180,374495,487,1046
1/7/2008,921,364873,477,923
1/8/2008,858,352598,435,844
1/9/2008,797,340396,433,820
1/10/2008,736,329304,393,777
1/11/2008,626,312540,389,652
1/12/2008,554,293997,377,560
1/1/2009,545,283870,336,490
1/2/2009,558,267938,372,582
1/3/2009,513,254645,339,505
1/4/2009,521,243958,337,478
1/5/2009,556,237188,376,540
1/6/2009,601,237343,393,585
1/7/2009,595,244141,411,594
1/8/2009,616,250768,418,586
1/9/2009,609,254135,386,585
1/10/2009,583,254942,396,534
1/11/2009,623,255941,375,588
1/12/2009,664,255801,352,581
1/1/2010,636,254826,345,614
1/2/2010,650,255121,336,604
1/3/2010,687,253924,381,636
